"","Trap_Station_Name","Session_Start_Date2","Session_End_Date2","Camelot_GPS_Latitude","Camelot_GPS_Longitude"
"49","CRO535_4",2020-04-28,2022-12-10,44.656653,15.036488
"50","CRO535_5",2020-01-06,2020-05-27,44.60315,15.08818
"51","CRO535_8",2020-01-01,2020-07-17,44.5922,15.1092
"52","CRO535_9",2020-03-16,2021-11-22,44.63255,15.05795
"53","CRO536_1",2020-05-07,2022-09-26,44.5937,15.1749
"54","CRO539_1",2022-12-14,2023-04-19,44.61988,15.52671
"55","CRO541_1",2022-01-18,2022-07-06,44.630368,15.879085
"56","CRO541_7",2022-10-28,2022-12-22,44.5661,15.83765
"57","CRO550_1",2020-07-30,2020-11-19,44.585,15.0994
"58","CRO550_4",2020-12-16,2021-04-21,44.5128,15.1346
"59","CRO550_6",2020-01-17,2020-04-30,44.56182,15.11199
"60","CRO550_7",2020-12-18,2021-08-19,44.58209,15.10281
"61","CRO551_1",2020-01-09,2020-05-08,44.5314,15.2047
"62","CRO551_10",2021-06-17,2021-11-30,44.49121,15.23932
"63","CRO551_11",2020-01-01,2020-02-13,44.50247,15.22933
"64","CRO551_7",2020-02-15,2021-06-24,44.49347,15.25937
"65","CRO551_8",2020-01-01,2022-12-02,44.54684,15.17667
"66","CRO551_9",2020-08-27,2020-11-19,44.49898,15.25816
"67","CRO557_1",2022-05-17,2022-11-29,44.527166,15.90776
"68","CRO568_10",2020-07-10,2021-11-30,44.43898,15.34831
"69","CRO568_11",2021-05-16,2021-06-16,44.43825,15.30297
"70","CRO568_12",2021-10-14,2021-10-28,44.47829,15.26443
"71","CRO568_13",2022-04-11,2022-12-19,44.47885,15.269174
"72","CRO568_8",2020-05-29,2020-11-27,44.43723,15.34666
"73","CRO568_9",2020-01-14,2021-04-08,44.46696,15.30108
"74","CRO569_1",2021-07-31,2021-11-16,44.40362,15.44519
"75","CRO570_1",2021-01-14,2021-02-04,44.747843,15.137624
"76","CRO570_4",2021-05-09,2022-11-04,44.39911,15.52982
"77","CRO584_14",2020-04-22,2020-12-01,44.37028,15.54454
"78","CRO584_15",2020-08-23,2021-05-04,44.36528,15.57248
"79","CRO585_3",2020-03-07,2020-05-13,44.32192,15.67341
"80","CRO585_4",2020-05-17,2022-10-03,44.29948,15.65961
"81","CRO585_5",2022-07-02,2022-10-03,44.320917,15.652081
"82","CRO586_2",2022-07-28,2022-10-03,44.293491,15.77459
"83","CRO600_2",2020-01-02,2020-03-06,44.2497,15.791
"84","CRO600_4",2020-04-16,2022-10-03,44.27613,15.83992
"85","CRO600_5",2021-08-04,2022-10-05,44.270974,15.780852
"86","CRO601_2",2020-01-01,2020-04-16,44.19778,15.86722
"87","CRO601_3",2020-12-16,2022-10-04,44.253632,15.961839
"88","CRO602_1",2021-07-26,2022-10-04,44.23346,16.04572
"89","CRO602_2",2020-04-06,2022-05-02,44.22073,16.00882
"90","CRO602_3",2020-12-16,2021-05-28,44.233601,16.044966
"91","CRO615_2",2020-01-01,2022-10-04,44.14639,16.06164
